text,label,Language,trans_lan,Translated_text
"jin sookshmaanuon ke samooh par ye kaam karti hai, us aadhaar par inhen vyresarodhi, fungsrodhi, protocoarodhi tathaa pratijaivik aushadhiyon ke rup main vargeekrut kiya jaataa he.",2,hin,"जिन सूक्ष्मानुओं के समूह पर ये काम करती हैं, उस आधार पर इन्हें व्यरेसरोधी, फंगस्रोधी, प्रोटोकोरोधी तथा प्रतिजैविक औषधियों के रूप में वर्गीकृत किया जाता है.","These are classified as anti-virals, anti-fungals, anti-protozoals and antibiotics according to the group of microbes they act upon."
"inamen bhojan or pani ke antargrahan main kami, aalasy, paniyal yaa feekaa safed shleshmabh netra srav, aankhon main sujan, asaamaanya vishtha (rang or rup) shaamil hai.",2,hin,"इनमें भोजन और पानी के अंतग्रहण में कमी, आलस्य, पनियल या फीका सफ़ेद श्लेष्मभ नेत्र श्र्व, आँखों में सूजन, असामान्य विष्ठा (रंग और रूप) शामिल हैं.","These include reduced feed or water intake, lethargy, watery or pale white mucoid discharge from the eyes, inflammation in the eyes, and abnormal stool (colour and form)."
"yakritkoshikeey durdamy arbud (yakrut cancer) ke ilaaj ke liye, ek anya mahatvapurn vikiran-bheshajvarg ke sthaneey chikitsarth die jane ke bare main bataaya gaya he, jisamen vishisht aakaar ke radiolabalikrut sookshmgolak yaa radiolabalikrut lipeodol (khaskhas ke tel se vyutpann fatty acid kaa ek atyadhik gadha fatty acid ethil aster) rogi ko radiolabalikrut karne ke liye injection se yakrut dhamni ke madhyam se die jate hai.",2,hin,"याकृतकोशिकीय दुर्दमी अरबुद (यकृत कन्सर) के इलाज के लिए, एक अन्य महत्वपूर्ण वीकिरण-भेशाजवर्ग के स्थानीय चिकित्सार्थ दिए जाने के बारे में बताया गया है, जिसमें विशिष्ट आकार के रेडिओलाबालीकृत सूक्ष्मगोलक या रेडिओलाबालीकृत लिपियोडोल (खसखस के तेल से व्युत्पन फैटी एसिड का एक अत्यधिक गधा फैटी एसिड एतिल एस्टर) रोगी को रेडिओलाबालीकृत करने के लिए इंजेक्शन से यकृत धमनी के माध्यम से दिए जाते हैं.","Another important loco-regional administration of therapeutic radiopharmaceuticals is reported for the treatment of hepatocellular carcinoma (liver cancer), where radiolabeled micro-spheres of specific size or radiolabeled Lipiodol (a highly viscous liquid-ethyl ester of fatty acid derived from poppy seed oil) are injected through the hepatic artery of the patient."
"upachaar ke is prakaar main, jise ""vikiran shleshak-kala uchhedan"" yaa "" radiosinovorthosis"" ke rup main janaa jaataa he, radiolabel kanikas yaa radiolabel kalil rog-grast jodon kii srav guha main injection se die jate hai.",2,hin,"उपचार के इस प्रकार में, जैसे ""वीकिरण श्लेषक-काला उछेड़न"" या "" रेडियोसाइनोवोर्थोसिस"" के रूप में जना जाता है, रेडिओलेबेल कनिकास या रेडिओलेबेल कलिल रोग-ग्रास्त जोड़ों की श्र्व गुहा में इंजेक्शन से दिए जाते हैं.","In therapeutic applications, ""liver cancer,"" or ""liver cancer,"" the radioisotope is used as the drug for the treatment of liver cancer."
karnavart pratyaropan se un logon ko bhi phayda hota he jo kaaphi had tak bahere ho chuke hai.,2,hin,कर्णवर्ट प्रत्यारोपण से उन लोगों को भी फायदा होता है जो काफी हद तक बहरे हो चुके हैं.,Trans fats are also beneficial to those who are inclined toward extra fats.
"jinhen kam sunai detaa he, ve saamanyatya bol kar apni baat vyakt karte hai or kaan kii mashiinon, karnavarti pratyaropanon, or anya upkarnon ke saath-saath anushirshakon se laabh paa sakate hai.",2,hin,"जिन्हें कम सुनाई देता है, वे सामान्यत्या बोल कर अपनी बात व्यक्त करते हैं और कान की मशीनों, कर्णवर्ती प्रत्यारोपनों, और अन्य उपकरणों के साथ-साथ अनुशीर्शकों से लाभ पा सकते हैं.","People who are hard of hearing usually communicate through spoken language and can benefit from hearing aids, cochlear implants, and other devices, as well as captioning."
malashay-sambandhi pareekshan ek twarit vidhi he (ek anbhavi vyakti ko 12 minute lagate hai).,2,hin,मालाशय-संबन्धी परीक्षण एक त्वरित विधि है (एक अंभावी व्यक्ति को 12 मिनट लगते हैं).,"Evidence-based psychotherapies for personality disorders include cognitive behavioural therapy (for 12 minutes a patient), and dialectical behaviour therapy (for 12 minutes a patient)."
vibhinn prakaar ke maanav rogon ke nidaan or upachaar ke liye radiodharmee aushadhiyon ko atyadhik shuddh radiodharmee padaarthon se nirmit hona chahie jo manushyon ko die jane ke liye paryaapt rup se surakshit hon.,2,hin,विभिन्न प्रकार के मानव रोगों के निदान और उपचार के लिए रेडियोधर्मी औषधियों को अत्यधिक शुद्ध रेडियोधर्मी पदार्तों से निर्मित होना चाहिए जो मानुंष्यों को दिए जाने के लिए पर्याप्त रूप से सुरक्षित हों.,Radiopharmaceuticals are highly pure radioactive pharmaceutical preparations that are safe enough for human administration and used for either diagnosis or therapy of various kinds of human ailments.
haalanki sookshmjivi pratirodhakon kaa durupyog or ati upyog is prakriya ko tej kar rahaa he.,2,hin,हालांकी सूक्ष्मजीवी प्रतिरोधकों का दुरुपयोग और अति उपयोग इस प्रक्रिया को तेज कर रहा है.,"However, the use of microbes and other devices is increasing."
yah ranneetik yojana van health ke liye ek samanvit or sahyogaatmak drushtikon sthapit karti he jisamen sarkaar ke mahatvapurn bhagidaar or anya kshetra shaamil hai.,2,hin,यह रणनीतिक योजना वन हेल्थ के लिए एक समांन्वित और सहयोगात्मक दृष्टिकों स्थापित करती है जिसमें सरकार के महत्वपूर्ण भागीदार और अन्य क्षेत्र शामिल हैं.,"This policy is an important aspect of the economy, including the health sector, which includes the government, and concerned industries."
santhaan ke o.pi.di. or ai.pi.di. main rogiyon kii upasthiti lagaataar badhati gai he.,2,hin,संस्थान के ओ.पी.दी. और आई.पी.दी. में रोगियों की उपस्थिति लगातार बढ़ती गई है.,The OPD and IPD facilities at the Institute are very limited.
yah ek chikitsa-vidhik pahalu he.,2,hin,यह एक चिकित्सा-विधिक पहलू है.,It's a medical aspect.
"haalanki puure rajyon main gunvattta main antar the, lagbhag sabhi main buniyadi sanrachana kii gunvattta, maanav sansadhano kii upasthiti, dawaaon kii aapurti, or vivaran-dastavej asantoshjanak paae gaye the.",2,hin,"हालांकी पूरे राज्यों में गुणवता में अंतर थे, लगभग सभी में बुनियदी संरचना की गुणवता, मानव संसाधनों की उपस्थिति, दवाओं की आपूर्ति, और विवारण-दास्तवज असंतोष्जनक पाए गये थे.","However, in almost all, the quality varied across states, in almost all, the quality of infrastructure, presence of human resources, supply of medicines, and records were found to be unsatisfactory."
"swasthya report kis prakaar banaai jaae, iskaa koi saamaanya khaakaa nahin hota he.",2,hin,"स्वास्थ्य रिपोर्ट किस प्रकार बनाई जाए, इसका कोई सामान्य खाका नहीं होता है.",The health certificate is not a sort of document that can be prepared by writing.
rashtriya gramin swasthya mishan (en.aar.ech.em.) jaise kaaryakramon ke madhyam se puure bharat main ayurveda kendron or jaev-chikitsa suvidhaon ko sah-sthit karne ke praytn keval bhautik nikatataa tak simit hai or naidanik sevaaon ke sah-vitaran ke str tak kaaryaatmak ekikaran kii sambhaavna ummid se bahut kam he.,2,hin,राष्ट्रीय ग्रामीन स्वास्थ्य मिशान (एन.आर.एच.एम.) जैसे कार्यक्रमों के माध्यम से पूरे भारत में आयुर्वेद केन्द्रों और जैव-चिकित्सा सुविधाओं को सह-स्थित करने के प्रयत्न केवल भौतिक निकटता तक सीमित हैं और नैदानिक सेवाओं के सह-वितरण के स्तर तक कार्यात्मक एकीकरण की संभावना उम्मीद से बहुत कम है.,The efforts to co-locate Ayurveda centers along with bio-medical facilities across India through programs like the National Rural Health Mission (NRHM) are limited to the extent of only physical proximity between biomedicine and Ayurveda and far away from the possibility of functional integration granulated to the level of clinical service delivery together.
agar vah jaanavar jhund main anya jaanwaron se alag rahata he to isse yah prakat hota he ki use koi swasthya samasya he.,2,hin,अगर वह जानवर झुण्ड में अन्य जानवरों से अलग रहता है तो इससे यह प्रकट होता है की उसे कोई स्वास्थ्य समस्या है.,"If the animal stays away from other animals in a herd, it indicates that it is having some health problem."
chikitsa adhikari mujhe dobaaraa apane paas aane nahin de rahe the or balki ek inspector ko mere paas bhejne par jor de rahe the.,2,hin,चिकित्सा अधिकारी मुझे दुबारा अपने पास आने नहीं दे रहे थे और बल्कि एक इंस्पेक्टर को मेरे पास भेजने पर जोर दे रहे थे.,The Medical Officer would not let me go to him again and insisted on sending an inspector to me instead.
adhiktar restaraan or fast-food udyogon main khaanaa banane or vyavsaayik rup se senki gai vastuon main istemaal hone vaale samaan ghatak vanaspati tel main hydrogen ke anu ke milane par paarpaksh vasa utpann hoti he.,2,hin,अधिकतर रेस्तराँ और फास्ट-फूड उद्योगों में खाना बनाने और व्यवसायिक रूप से सेनकी गई वस्तुओं में इस्तेमाल होने वाले समान घटक वनस्पति तेल में हाइड्रोजन के अनु के मिलाने पर पार्पक्ष वसा उत्पन होती है.,Trans fats result from adding hydrogen to vegetable oils used in commercial baked goods and for cooking in most restaurants and fast-food chains.
asantrupt vasa aisi vasa he jo kaksh taapmaana par drav rup main hoti he.,2,hin,असंतृप्त वसा ऐसी वसा है जो कक्ष तापमाना पर द्रव रूप में होती है.,A highly viscous liquid that is digestible during the digestive process.
"dablyoo.ech.o. kaa yah uttardaayitv he ki kaary-sthal main yaa kaary ke silsile main bhed-bhav, adhikaar kaa durupyog, or yon-utpeedan sahit utpeedan (samuhik rup se jise apmanjanak aacharan kaha jaataa he) ko rokane or uskaa jawaab dene kii disha main sabhi uchit kadam uthaae.",2,hin,"डब्ल्यू.एच.ओ. का यह उत्तरदायित्व है की कार्य-स्थल में या कार्य के सिलसिले में भेद-भाव, अधिकार का दुरुपयोग, और यों-उत्पीड़न सहित उत्पीड़न (समुहिक रूप से जैसे अपमांजनक आचरण कहा जाता है) को रोकने और उसका जवाब देने की दिशा में सभी उचित कदम उठाए.","Woolwich is the responsibility of the World Health Organization (WHO), to advise on a viable and sustainable system of action against disability discrimination, including discrimination, and discrimination in the workplace."
isamen nuksaan kya he?,2,hin,इसमें नुकसान क्या है?,What is the damage?
tritiy str kaa uddeshy he parinaamon ko is prakaar prastut karnaa or sampreshit karnaa jo nirnay lene main sahaayta kar sake.,2,hin,तृतीय स्तर का उद्देश्य है परिणामों को इस प्रकार प्रस्तुत करना और सम्प्रेशित करना जो निर्नय लेने में सहायता कर सके.,The aim of the third level is to present and communicate the results in a way that supports decision-making.
"yoga shabd ke do arth hai: pehla yujir dhaatu se niklaa he jiskaa matlab he sangyojan, or doosraa ek alag mul, yuj, se aayaa he, jiskaa matlab hota he samadhi, yaa chetana tathaa purna gyaan kii charam avasthaa.",2,hin,"योगा शब्द के दो अर्थ हैं: पहला युजिर ढातु से निकला है जिसका मतलब है संयोजन, और दूसरा एक अलग मूल, युज, से आया है, जिसका मतलब होता है समाधि, या चेतना तथा पूर्ण ज्ञान की चरम अवस्था.","Two words are derived from the Sanskrit root Yuj, meaning to join or to yoke or to unite, and the latter is a mixture of genres."
vikiran-bheshajvarg naidanik ​​yaa upachaaratmak utprerak ke rup main apni prabhaavashiltaa dikhaane ke liye radioneuclide ke parmanvik gunon ke saath-saath aushadhiyon ke bhaishajik gunon kaa upyog karte hai.,2,hin,वीकिरण-भेशाजवर्ग नैदानिक ​​या उपचारत्मक उत्प्रेरक के रूप में अपनी प्रभावशील्ता दिखाने के लिए रेडियोन्यूक्लाइड के परमांन्विक गुणों के साथ-साथ औषधियों के भैषजिक गुणों का उपयोग करते हैं.,Radiopharmaceuticals are highly pure radioactive pharmaceutical preparations that are safe enough for human administration and used for either diagnosis or therapy of various kinds of human ailments.
"vaakyansh ""harith arthvyavastha"" kaa prayog pehali baar united kingdom kii sarkaar ke liye 1989 main taiyaar kii gai blueprint for e green iconomi sheershak vaali report main agrani paryaavaran arthshaastriyon dwaara kiya gaya tha.",2,hin,"वाक्यंश ""हरित अर्थव्यवस्था"" का प्रयोग पहली बार यूनाइटेड किंगडम की सरकार के लिए 1989 में तैयार की गई ब्लूप्रिंट फॉर ए ग्रीन इकनोमी शीर्षक वाली रिपोर्ट में अगरानी पर्यावरण अर्थशास्त्रीओं द्वारा किया गया था.","The term ""Green Economy"" was first coined in a 1989 report for the Government of the United Kingdom by a group of leading environmental economists, titled Blueprint for a Green Economy."
arunachal pradesh main naaraa aabaa naam kii shwet sharaab kiwi fal se banaai jaati he or iskaa utpaadan nichle subansiri zile ke hogg gaanv main lambu-subu food and beverejes karata he.,2,hin,अरुणाचल प्रदेश में नारा आबा नाम की श्वेत शराब कीवी फल से बनाई जाती है और इसका उत्पादन निचले सुबनसीरी ज़िलें के हॉग गांव में लाम्बू-सुबू फूड एंड बेवरेजेस करता है.,A white wine made from kiwi fruit called Naara Aaba comes from Arunachal Pradesh and is produced by Lambu-Subu Food and Beverages at Hong village in the Lower Subansiri district.
neeche kii ore jane ke liye release batan dabaakar oonchaai kam karen.,2,hin,नीचे की ओर जाने के लिए रिलीस बतान दबाकर ऊँचाई कम करें.,"To reduce the height, press the release button to move downwards."
"vikaas ke bahut praanbhik charnon main chaara-fasalon main ucch maatra main protein tatv hote hai or praayah aasaani se pachne yogya hoti hai, par unki upaj (kul aaytan yaa jaev bhaar) kam hota he.",2,hin,"विकास के बहुत प्राणभिक चरणों में चारा-फसलों में उच्च मात्रा में प्रोटीन तत्व होते हैं और प्रायः आसानी से पचने योग्य होती हैं, पर उनकी उपज (कुल आयतन या जैव भार) कम होता है.","Fodder crops at very early stages of growth have high protein content and are usually easily digestible, but their yield (total volume or biomass) is low."
"prayogtmak vichaaron ke liye junun se las or aatmavishvaas evam drudh nishchay se bharpoor, ukhrul kii jinorin saamaanya udhyami nahin hai.",2,hin,"प्रयोगमक विचारों के लिए जुनून से लास और आत्मविश्वास एवं दृढ़ निश्चय से भरपूर, उखरूल की जिनोरिन सामान्य उद्यमी नहीं हैं.","Known in real life as well as professional, these resources provide a stable and steady flow of information and resources."
"multah, isamen jaivasanhati kaa utpaadan shaamil he jisase ki ise ooshmiya parivartan, rasinic parivartan or jivaracinic parivartan jaisi vibhinn vidhiyon se suvidhajanak urja-yukt padaarthon main parivartit kiya ja sake.",2,hin,"मुल्तः, इसमें जैवसंहाती का उत्पादन शामिल है जिससे की इसे ऊष्मिया परिवर्तन, रसीनिक परिवर्तन और जीवरासिनिक परिवर्तन जैसी विभिन्न विधियों से सुविधाजनक ऊर्जा-युक्त पदार्तों में परिवर्तीत किया जा सके.","Therefore, it is essential that the energy conservation efforts are undertaken in partnership with other resources such as coal, solar energy, and chemicals."
bhuvaigyanik prakriyaaon se bane koyale or kachche tel jaise eendhan ke bajaae inkaa utpaadan jaivik prakriyaaon se kiya jaataa he.,2,hin,भुवैज्ञानिक प्रक्रियआओं से बने कोयले और कच्चे तेल जैसे ईंधन के बजाए इनका उत्पादन जैविक प्रक्रियआओं से किया जाता है.,These are produced through biological processes rather than fuel produced by geological processes such as coal and petroleum.
vikaas or paryaavaran sangrakshan kii di.i.i.pi. aadhunik chulhaa socity (di.i.i.pi.) ne aadhunik di.i.i.pi. chulhaa viksit kiya he jisamen lakdi kii khapat ko 50% se kam karne ke liye jaev eendhan kaa upyog kiya jaataa he.,2,hin,विकास और पर्यावरण संरक्षण की दी.ई.ई.पी. आधुनिक चूल्हा सोसिटी (दी.ई.ई.पी.) ने आधुनिक दी.ई.ई.पी. चूल्हा विक्सित किया है जिसमें लकड़ी की खपत को 50% से कम करने के लिए जैव ईंधन का उपयोग किया जाता है.,DEEP Modern Chulha Society of Development and Environment Protection (DEEP) developed the Modern DEEP Chulha that uses biomass to reduce the consumption of wood by 50%.
2020 tak 197 adhishuchet deshaj naslein rajptr adhisuchana main shaamil kii gayi.,2,hin,2020 तक 197 अधिसुचित देशाज नस्लें राजपत्र अधीसुचना में शामिल की गयी.,"As of 2020, 197 countries have been listed as the country's citizens."
enbiolet green solution foundation (ji.es.epa.) ne un gaanvon or shaharon main jhuggi jhonpadiyon main swasthkar safai vyavastha ke liye jaivik-shauchalay banaae hai jahaan par mel vyavastha thik nahin he.,2,hin,एनबायोलेट ग्रीन सॉल्यूशन फाउंडेशन (जी.एस.एफ.) ने उन गांवों और शहरों में झुग्गी झोंपदियों में स्वस्थकर सफाई व्यवस्था के लिए जैविक-शौचालय बनाए हैं जहाँ पर मेल व्यवस्था ठीक नहीं है.,Enbiolet Green Solution Foundation (GSF) has created bio-toilet facilities in villages and slums in cities that lack sewage systems.
ai.si.e.aar. kaa varsh 2024 tak aayaat karne ke badale 30 sansaadhit karne yogya kheti or bagwani fasalon ko viksit karne kaa lakshya he.,2,hin,आई.सी.ए.आर. का वर्ष 2024 तक आयात करने के बदले 30 संसादित करने योग्य खेती और बागवानी फसलों को विक्सित करने का लक्ष्य है.,Cereal price pressure is spreading from wheat to rice due to the likely lower Kharif paddy production.
"1970 ke dashak main hi vikiran samasthanik kii badhati maang kaa purvanumaan lagaakar or nabhikeey vigyaan main acchhee pragati se ho rahe shodh ke kaaran tulanaatmak rup se adhik nautron abhivah vaale ek or riector kii aavashyaktaa mahasoos hui jiske parinamswaroop bi.e.aar.si., trombay main aar-5 riector (baad main jise dhruv riector kaa naam diya gaya) kaa nirmaan evam use pravartan main laana chaalu hua.",2,hin,"1970 के दशक में ही वीकिरण समस्तानिक की बढ़ती मांग का पूर्वानुमान लगाकर और नाभिकीय विज्ञान में अच्छी प्रगती से हो रहे शोध के कारण तुलनात्मक रूप से अधिक नौत्रोन अभिवाह वाले एक और रीक्टर की आवश्यकता महसूस हुई जिसके परिनामस्वरूप बी.ए.आर.सी., ट्रुम्बई में आर-5 रीक्टर (बाद में जैसे ध्रुव रीक्टर का नाम दिया गया) का निर्मान एवं उसे प्रवर्तन में लाना चालू हुआ.","In the 1970s, the earliest laboratory experiments to detect radiation were introduced in the field and subsequently used in the laboratory (for example, the FTII) and the R-5 architecture in the laboratory (for example, the FTII)."
"ech.el.el.dablyoo. main vikhandan utpaada, laghu actenide, uranium or plutonium ke avshesh, sanksharan utpaada, or punahsansaadhan karne ke dauraan daale gaye rasayan hote hai.",2,hin,"एच.एल.एल.डब्ल्यू. में विखांडन उत्पाद, लघु एक्टनिड, यूरेनियम और प्लूटोनियम के अवशेष, संक्शरण उत्पाद, और पुनःसंसाधन करने के दौरान डाले गये रसायन होते हैं.","HLLW contains fission products, minor actinides, traces of uranium & plutonium, corrosion products, and chemicals added during reprocessing."
ech.el.el.dablyoo. ko niskriy kaanch (vitrius) matrix main radiodharm ko sthir karne ke liye rakh kar vayushitit kaksh main kuch dashakon ke liye bhandaarit kiya jaataa he or phir unhen bhumigat aadhaan main niptaan karne par vichaar kiya jaataa he.,2,hin,एच.एल.एल.डब्ल्यू. को निष्क्रिय काँच (विट्रियस) माट्रिक्स में रेडियोधर्म को स्थिर करने के लिए रख कर वयुशीतित कक्ष में कुछ दशकों के लिए भंडारित किया जाता है और फिर उन्हें भूमिगत आधान में निप्टआन करने पर विचार किया जाता है.,"HLLW is immobilized in an inert glass (vitreous) matrix, stored for a few decades in an air-cooled vault, and then planned to be disposed of in a deep repository."
jersey gaay ke doodh main 5 pratishat vasa kii maatra hoti he jabaki holstine-frizian gaay ke doodh main 3.5 pratishat vasa hoti he.,2,hin,जर्सी गाय के दूध में 5 प्रतिशत वसा की मात्रा होती है जबकी हॉलस्टीन-फ्रिजियन गाय के दूध में 3.5 प्रतिशत वसा होती है.,The caloric density is about 5 percent and the white wine is about 3 percent.
"maanav suraksha mukhya rup se graahakon, karmchaariyon or prabandhan dal sahit sabhi logon ke swasthya, swatchta or vaataavaran par dhyaan kendrit karti he.",2,hin,"मानव सुरक्षा मुख्य रूप से ग्राहकों, कर्मचारियों और प्रबंधन दल सहित सभी लोगों के स्वास्थ्य, स्वच्छता और वातावरण पर ध्यान केंद्रित करती है.","Human safety mainly focuses on the health, hygiene, and environment of all people, including customers, employees, and management."
"haalanki sizium kii punahprapti ech.el.el.dablyoo ke dwitiya chakra main kii jaati he, stronsium -actenide-lanthanide kaa sanyukt pruthakkaran tritiy chakra main punahprapt kiya jaataa he.",2,hin,"हालांकी सिज़ियम की पुनःप्राप्ति एच.एल.एल.डब्ल्यू के द्वितीय चक्र में की जाती है, स्ट्रोन्सियम -एक्टनिड-लेंथनिड का संयुक्त पृठक्करण तृतीय चक्र में पुनःप्रप्त किया जाता है.","While cesium recovery is aimed in the second cycle, Strontium-Actinide-Lanthanide combined separation is achieved in the third cycle from HLLW."
"sookshm tarang sudur samvedan takneekon kaa prayog har prakaar ke mausam main kiya ja saktaa he kyonki vayumandal kam aavriti kii in sookshm tarangon ko roktaa nahin he, or yah sookshm tarangen badalon se paar ho sakati hai tathaa sookshm tarang ke samvedak chunki surya ke prakaash se prabhavit nahin hote, isliye yah din or raat ke samay kiye jane vaale sanchalanon ke liye upyukt hai.",2,hin,"सूक्ष्म तरंग सुदूर संवेदन तकनीकों का प्रयोग हर प्रकार के मौसम में किया जा सकता है क्योंकि वयुमंडल कम आवृत्ति की इन सूक्ष्म तरंगों को रोकता नहीं है, और यह सूक्ष्म तरंगें बादलों से पार हो सकती हैं तथा सूक्ष्म तरंग के संवेदक चूँकि सूर्य के प्रकाश से प्रभावित नहीं होते, इसलिए यह दिन और रात के समय किए जाने वाले संचलनों के लिए उपयुक्त हैं.","Micronutrient residues are not harmonized with chemicals that are absorbed in the skin epidermis, and the micronutrient is not sensitive enough, so it is ideal for using harsh chemicals in the day and night, as does not damage the skin in the day and night, which are otherwise used as a preservative."
prakritik yaa sanvardhit uranium kaa prayog aamtaur par nabhikeey vidyut sanyantron main nabhikeey vikhandan ke liye eendhan ke rup main kiya jaataa he.,2,hin,प्राकृतिक या संवर्धित यूरेनियम का प्रयोग आमतौर पर नाभिकीय विद्युत संयंत्रों में नाभिकीय विखांडन के लिए ईंधन के रूप में किया जाता है.,"Uranium, either in natural or enriched form, is commonly used as fuel in nuclear power plants for nuclear fission."
iske alaava soyabean main jaldi paripakv hone kii kshamta prerit kii gai he.,2,hin,इसके अलावा सोयाबीन में जल्दी परिपक्व होने की क्षमता प्रेरित की गई है.,"Also, the use of chilli powder has been increased."
jab ek baar main puri diwaar kaa nirmaan nahin kiya ja saktaa to aisi sthiti main seedhinuma diwaar khadi karnaa upyogi hota he.,2,hin,जब एक बार में पूरी दीवार का निर्मान नहीं किया जा सकता तो ऐसी स्थिति में सीधीनुमा दीवार खड़ी करना उपयोगी होता है.,"When a single hole is not created in the area, it is essential to create a hole in the wall."
"isse sabhi sambandhit logon kaa jaivik kheti, mrudaa evam paryaavaran ko punarthik karne, usamen dobaaraa praan bharne or durust karne kii takneekon sahit rasayan-mukt krishi par dhyaan kendrit hua he.",2,hin,"इससे सभी संबंधित लोगों का जैविक खेती, मृदा एवं पर्यावरण को पुनर्तिक करने, उसमें दुबारा प्राण भरने और दुरुस्त करने की तकनीकों सहित रसायन-मुक्त कृषि पर ध्यान केंद्रित हुआ है.","This has brought focused attention of all concerned towards chemical-free farming, including organic farming, and techniques that recover, revitalize, and restore the soil and the environment."
"din ke samay kaa taapmaana 24-27 degree celsium rahanaa chahie evam raat kaa 15 -17 degree celsius rahanaa chahie, or 75 pratishat kii saapeksh ardrata ke saath adarsh taapmaana 15-27 degree celsius ke bich rahanaa chahie.",2,hin,"दिन के समय का तापमाना 24-27 डिग्री सेल्सिअम रहना चाहिए एवं रात का 15 -17 डिग्री सेल्सियस रहना चाहिए, और 75 प्रतिशत की सापेक्ष आर्द्रता के साथ आदर्श तापमाना 15-27 डिग्री सेल्सियस के बीच रहना चाहिए.","The temperature requirement is 24°–27°C during the daytime and 15°–17°C during the night hours, with the optimum being 15°–27°C with 75 percent relative humidity."
"aise vibhinn kaarykram antarrashtriya vyapaar centre dwaara yojit kiye ja rahe hai jo chote vyavsaayon or udhyamiyon kii aavashyaktaaon par prakaash daalate hai or unki pragati main sahaayta pradaan karte hai, jaise ki digital vyapaar: mena kshetra main yuvakon ke liye avasar, es.di.ji. ke liye chote vyavsaay - photo pradarshnee, khel ke kshetra main yuva udhyami or mahilaon main nivesh.",2,hin,"ऐसे विभिन्न कार्यक्रम अंतराष्ट्रीय व्यापार सेंटर द्वारा योजित किए जा रहे हैं जो छोटे व्यवसायों और उद्यमियों की आवश्यकताओं पर प्रकाश डालते हैं और उनकी प्रगती में सहायता प्रदान करते हैं, जैसे की डिजिटल व्यापार: मेना क्षेत्र में युवकों के लिए अवसर, एस.दी.जी. के लिए छोटे व्यवसाय - फोटो प्रदर्शनी, खेल के क्षेत्र में युवा उद्यमी और महिलाओं में निवेश.","Various events are being organized by the International Trade Center, which highlights the needs of small businesses and entrepreneurs and provides support for them as they grow like Digital Trade: Opportunities for youth in the MENA region, small businesses for the SDGs-Photo exhibition, young entrepreneurs in sport and Investing in Women."
"is paddati main vilaayak, chuninda nishkarshak ke avshesh, jaleey apshisht-yukt carbonic pravaah teevr aalodan prayog karke acchhee tarah milaae jate hai.",2,hin,"इस पद्धति में विलायक, चुनीन्दा निष्कर्षक के अवशेष, जलीय अप्शिष्ट-युक्त कार्बनिक प्रवाह तीव्र आलोदन प्रयोग करके अच्छी तरह मिलाए जाते हैं.",This method employs machine learning techniques to copper and rarely infertible carbon content.
sizium kaanch bhare dispencer ko sizium bhari kaanch kii pencilen banane ke liye vishisht rup se prayukt pun: pighalaane kii bhatthi se alag sthaan par taiyaar kiya jaataa he jiske liye prayek pencil main sizium kaanch par vidhipurvak niyantran rakhaa jaataa he.,2,hin,सिज़ियम काँच भरे डिसपेन्सर को सिज़ियम भारी काँच की पेंसिलें बनाने के लिए विशिष्ट रूप से प्रयुक्त पुन: पिघलाने की भट्ठी से अलग स्थान पर तैयार किया जाता है जिसके लिए प्रत्येक पेंसिल में सिज़ियम काँच पर विधिपुर्वक नियंत्रण रखा जाता है.,"A pedon is morphologically described in the field and stored for a few decades in a laboratory for the same purpose, with inadequate maintenance."
"iske atirikt, niryaat/aayaat, keemat niyatan evam saarvajanik vitaran jaisi vipanan sambandhi ranneetiyon ko taiyaar karne ke liye bharosemand or samayik rup se kiye anumaan evam mausam ke anusaar vishisht fasalon ko ugane kaa kshetrafal tathaa utpaadan ke anumaan mahatvapurn hai.",2,hin,"इसके अतिरिक्त, निर्यात/आयात, कीमत नियतन एवं सार्वजनिक वितरण जैसी विपनन संबन्धी रणनीतियों को तैयार करने के लिए भरोसिमंड और समायिक रूप से किए अनुमान एवं मौसम के अनुसार विशिष्ट फसलों को उगाने का क्षेत्रफल तथा उत्पादन के अनुमान महत्वपूर्ण हैं.","In addition, reliable and timely estimates and seasonal crop acreage and production estimates are important for the formulation of marketing strategies such as export/import, price fixation, and public distribution."
"krishi ke tahat zyaada bhoomi rakh kar (kshaitij drushtikon) or behatar fasal prabandhan takneekon, jaise ki ucch-paidaavaar nivishti-pratikriyasheel, urja-gahan, tanaav-sahishnu vividhtaayen, badi hui sinchai, samanvit fasal poshan or suraksha, (kaaryakshetra drushtikon) kaa prayog karke, fasal utpaadan ko kaaphi had tak badhaayaa ja saktaa he.",2,hin,"कृषि के तहत ज़्यादा भूमि रख कर (क्षतिज दृष्टिकों) और बेहतर फसल प्रबंधन तकनीकों, जैसे की उच्च-पैदावार नीविष्टि-प्रतिक्रियशील, ऊर्जा-गहन, तनाव-सहिष्णु विविधताएं, बड़ी हुई सींचाई, समांन्वित फसल पोषण और सुरक्षा, (कार्यक्षेत्र दृष्टिकों) का प्रयोग करके, फसल उत्पादन को काफी हद तक बढ़ाया जा सकता है.","High-yielding technologies such as the use of high-yielding input-responsive, energy-intensive, stress-tolerant varieties, increased irrigation, and integrated crop nutrition and protection."
